what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1339527587377
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339527587377
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1339527587378
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1339527587378
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1339527587379
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1339527587379
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1339527587379
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1339527587380
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1339527587381
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1339527587381
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1339527587382
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339527587383
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1339527587384
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339527587385
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339527587385
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1339527587386
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1339527587387
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1339527587389
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1339527587389
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1339527587390
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1339527587391
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1339527587392
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339527587393
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339527587393
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1339527587394
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339527587394
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339527587395
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339527587396
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339527587397
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339527587398
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339527587399
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1339527587400
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1339527587401
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1339527587402
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1339527587402
os,sysinfo,,,"linux",1339527587407
arch,sysinfo,,,"x86_64",1339527587407
ws,sysinfo,,,"gtk",1339527587407
locale,sysinfo,,,"en_US",1339527587407
processors,sysinfo,,,"4",1339527587408
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1339527587408
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1339527587408
java.specification.name,sysinfo,,,"Java Platform API Specification",1339527587408
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339527587408
java.specification.version,sysinfo,,,"1.6",1339527587408
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339527587408
java.version,sysinfo,,,"1.6.0_24",1339527587408
java.vm.info,sysinfo,,,"mixed mode",1339527587408
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1339527587408
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339527587408
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339527587408
java.vm.specification.version,sysinfo,,,"1.0",1339527587408
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339527587408
java.vm.version,sysinfo,,,"20.0-b12",1339527587408
